ID,NOMBRE,DIRECCION,HORA_APERTURA,HORA_CIERRE
0,Clarence,Ulhej Park,6:30,23:30
1,Ricardo,Johaw Heights,5:00,23:30
2,Emma,Buko Path,6:00,23:00
3,Ray,Cedibu Way,6:00,23:00
4,Sarah,Tidif Grove,5:30,23:30
5,Millie,Liti Loop,6:00,23:30
6,Henry,Coge Mill,4:30,23:30
7,Bruce,Zuolo Grove,5:30,23:00
8,Shawn,Lipaw Road,5:00,23:00
9,Zachary,Vuuk Avenue,6:00,23:30
10,Ina,Gauh Key,6:00,23:30
11,Cora,Fiwogo Path,4:30,23:30
12,Gary,Mahi Lane,5:00,23:00
13,Henrietta,Culcu Center,5:30,23:30
14,Franklin,Ibauvi Avenue,5:30,23:00
15,Derrick,Cojem Place,6:30,23:30
16,Essie,Gicah Street,5:30,23:00
17,Timothy,Ugzuz Pike,5:00,23:00
18,Clara,Gosod Boulevard,6:00,23:00
19,Frank,Hiwe Turnpike,6:00,23:00
20,Duane,Jero Square,6:00,23:00
21,Olga,Dijfi Plaza,6:00,23:00
22,Mildred,Delu Mill,6:00,23:30
23,Sadie,Kitu Heights,5:00,23:00
24,Nelle,Abre Highway,5:00,23:00
25,Adele,Gores Way,6:00,23:30
26,Erik,Lora Grove,4:30,23:00
27,Jeffery,Vepu Way,4:30,23:30
28,Floyd,Wiship Loop,6:30,23:30
29,Vincent,Casule Highway,5:30,23:30
30,Cornelia,Kofi Square,5:00,23:00
31,Thomas,Dethe Pass,5:00,23:30
32,Ronald,Bitem Highway,4:30,23:30
33,Sara,Revwa Highway,6:30,23:00
34,Jon,Rawev Parkway,4:30,23:30
35,Edward,Vivkug Square,5:00,23:30
36,Hester,Revki Avenue,6:30,23:30
37,Amelia,Utuvu Glen,5:30,23:00
38,Travis,Cunad Boulevard,5:30,23:00
39,Mayme,Zuosi Pike,5:00,23:00
40,Earl,Cusoh Path,6:00,23:00
41,Annie,Casic Terrace,5:00,23:00
42,Hettie,Wohini Circle,6:00,23:30
43,Clifford,Wusi Ridge,5:00,23:00
44,Grace,Huvho Boulevard,6:00,23:30
45,Troy,Cewez Circle,5:30,23:30
46,Annie,Jegehu Manor,6:00,23:30
47,Jeffrey,Rieze Street,6:00,23:00
48,Franklin,Feopi Junction,5:30,23:00
49,Ollie,Joso Mill,6:00,23:30
50,Pauline,Waome Point,4:30,23:30
51,Eric,Mupwun Turnpike,6:30,23:00
52,May,Tuphe Heights,6:00,23:00
53,Louis,Gohu Junction,5:30,23:30
54,Vera,Caida Circle,5:30,23:30
55,Lucy,Lohu Lane,4:30,23:00
56,Roy,Kasbod Boulevard,4:30,23:30
57,Bernice,Mutro Boulevard,5:30,23:30
58,Hannah,Ledde Court,6:30,23:30
59,Keith,Bejef Ridge,4:30,23:00
60,Zachary,Rekza Terrace,4:30,23:00
61,Owen,Guso Drive,5:00,23:00
62,Nettie,Haflis Manor,6:00,23:30
63,Maurice,Fero Plaza,5:00,23:30
64,Chester,Jabta Heights,6:00,23:00
65,Florence,Kusav Park,4:30,23:30
66,Susan,Halpov Place,5:30,23:00
67,Lester,Anijuk Junction,5:30,23:00
68,Katie,Nugu Highway,5:30,23:00
69,Eunice,Oviwo Mill,6:00,23:00
70,Tommy,Haweg Path,6:30,23:30
71,Brandon,Kuhu Extension,4:30,23:00
72,Myra,Wirveg Ridge,4:30,23:00
73,Lillian,Levmes Terrace,5:30,23:00
74,Beatrice,Delo Road,6:30,23:00
75,Alan,Guba Road,6:00,23:30
76,Alan,Peza Plaza,6:30,23:00
77,Victor,Gegim Parkway,5:00,23:30
78,Winnie,Naibu Ridge,4:30,23:00
79,Mario,Uvhit Plaza,6:30,23:30
80,Lawrence,Sesic Pass,6:00,23:30
81,Ray,Opmaf Way,5:00,23:00
82,Gordon,Ewtaf Center,6:00,23:30
83,Katherine,Inamew Way,6:30,23:30
84,William,Mocnew Path,4:30,23:30
